,PA01H:PM25,RN6:PM25,RUR_N:PM25,RUR-SE:PM25,GON:PM25,RAMBO:PM25,AUT:PM25,RUR_S:PM25,BOB:PM25,GEN:PM25,VITRY:PM25,A1:PM25,PA04C:PM25,BP_EST:PM25,OBJECTID
,PARIS 1er Les Halles,Route Nationale 6 - MELUN,Zone rurale Nord - Saint-Martin-du-Tertre,Zone rurale Sud-Est - Forêt de Fontainebleau,GONESSE,Rambouillet,Boulevard Péripherique Auteuil,Zone Rurale Sud - Bois Herpin,BOBIGNY,GENNEVILLIERS,VITRY-SUR-SEINE,Autoroute A1 - Saint-Denis,Paris Centre,Boulevard Périphérique Est,0
,PA01H,RN6,RUR_N,RUR-SE,GON,RAMBO,AUT,RUR_S,BOB,GEN,VITRY,A1,PA04C,BP_EST,1
,"PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules","PM 2,5 particules",2
,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,PM25,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2019/03/11 20:00:00+00,,19.200000,7.900000,6.900000,11.300000,12.200000,17.300000,4.200000,5.500000,8.500000,10.200000,21,9.500000,12.200000,1680
2019/03/11 21:00:00+00,,23,,7.500000,19.500000,8.700000,17.500000,4,18.700000,13.400000,13.500000,33.800000,13.500000,9.500000,1681
2019/03/11 22:00:00+00,,18.400000,,7.100000,20.300000,14.200000,18.700000,3.600000,12.300000,13.300000,15.700000,13.500000,11.800000,20,1682
2019/03/11 23:00:00+00,,19.500000,13.600000,18.300000,21.800000,10.800000,9.300000,6.600000,12.500000,10.900000,14.100000,13.200000,12.600000,14.300000,1683
2019/03/12 00:00:00+00,,15.700000,15.700000,8.700000,20.100000,8.200000,5.900000,5.700000,13.200000,9.300000,12.800000,12.900000,12.100000,18.200000,1684
2019/03/12 01:00:00+00,,10.600000,10,7.100000,14,5.600000,5.300000,17.600000,17.100000,8.400000,10.300000,12.400000,12,14.200000,1685
2019/03/12 02:00:00+00,,12.900000,6.400000,7.600000,10.500000,8.600000,4.800000,13.600000,10.600000,6.400000,7.600000,7.800000,9.500000,13.900000,1686
2019/03/12 03:00:00+00,,12,6.200000,9.900000,8.700000,8.200000,4.900000,10.500000,10.500000,6.400000,10.100000,8.300000,9.400000,14.100000,1687
2019/03/12 04:00:00+00,,13.400000,4.500000,8.800000,7.200000,7.300000,9.400000,9.600000,10,8,9.200000,14,8.200000,14.300000,1688
2019/03/12 05:00:00+00,,13.300000,3.800000,5.900000,10.400000,8.300000,11.900000,6.400000,7.200000,8.600000,10.300000,10.700000,11,15.900000,1689
2019/03/12 06:00:00+00,,9.400000,3.700000,5.600000,9.900000,6.700000,12.600000,5.100000,6.400000,10,8.300000,13,9.200000,22.600000,1690
2019/03/12 07:00:00+00,,11.200000,6.400000,5,8.700000,6.400000,16.800000,7.400000,8.900000,7.600000,7.100000,13.800000,8.700000,19.400000,1691
2019/03/12 08:00:00+00,,14.300000,8.300000,5.800000,12.500000,7.300000,9.200000,5.900000,7.600000,8.600000,8.400000,11.100000,10,11.500000,1692
2019/03/12 09:00:00+00,,10.200000,7.100000,7,9.200000,8.900000,12.900000,6.300000,7.300000,7.600000,9.700000,,12.400000,12.100000,1693
2019/03/12 10:00:00+00,,9.200000,4.700000,7,9,9,11.700000,6.400000,7.900000,8.700000,7.500000,,12,13,1694
2019/03/12 11:00:00+00,,8.500000,4.600000,6,9.300000,8.500000,10.500000,13.500000,10.600000,8.400000,4.700000,,13,8.800000,1695
2019/03/12 12:00:00+00,,8.900000,10.900000,4.800000,10.600000,8.200000,11.500000,8.800000,7.100000,7.200000,6.200000,,9.900000,7,1696
2019/03/12 13:00:00+00,,6.300000,18.400000,2.600000,7,6.600000,9.700000,,4.200000,5.400000,8.800000,5.200000,13.100000,,1697
2019/03/12 14:00:00+00,,9.100000,10.200000,2.600000,7.500000,4.700000,10.300000,,5.600000,8.500000,7.100000,10,11,,1698
2019/03/12 15:00:00+00,,6.300000,,5.700000,6.100000,8.100000,9.800000,,7.600000,9.800000,5.500000,9.200000,10.300000,,1699
2019/03/12 16:00:00+00,,6.500000,,4.200000,4.400000,6.600000,15,,5.800000,9,8.500000,10.300000,9.500000,12.900000,1700
2019/03/12 17:00:00+00,,9,,3.300000,3.300000,5.900000,9.600000,,7.400000,4.200000,7,7.800000,10,10.800000,1701
2019/03/12 18:00:00+00,,11.200000,,4.800000,3.700000,5.500000,10,,,,7.200000,8.500000,12.500000,10.300000,1702
2019/03/12 19:00:00+00,,8.200000,1.900000,4.500000,7.300000,,9.800000,,,,4,12.700000,12.100000,5.900000,1703
2019/03/12 20:00:00+00,,7.200000,3.100000,3,5.100000,5.400000,9.400000,,,3,3.500000,10.600000,6.700000,3.400000,1704
2019/03/12 21:00:00+00,,6.100000,3.500000,1.800000,3.100000,5.700000,8.800000,,2.100000,3.700000,3.300000,17.900000,5,4.600000,1705
2019/03/12 22:00:00+00,,5.900000,3.900000,0.100000,3.900000,,6.200000,,,3.900000,2.100000,10.100000,4.900000,6.800000,1706
2019/03/12 23:00:00+00,,4.800000,2.900000,0.400000,7.100000,5.600000,5.600000,0.600000,,2.600000,3.700000,10.100000,4.400000,4.300000,1707
2019/03/13 00:00:00+00,,4.200000,1.400000,1.500000,6.200000,2.400000,4.700000,1.600000,2.300000,3.200000,3,8,3.800000,2.900000,1708
2019/03/13 01:00:00+00,,3.800000,1.100000,2.400000,3,2.900000,3,4.100000,4.500000,3.100000,2.500000,8.900000,4.900000,3.700000,1709
2019/03/13 02:00:00+00,,7,1.500000,1.300000,4.400000,5.500000,4.700000,4.900000,5.700000,3.300000,2.800000,6.200000,5,7.300000,1710
2019/03/13 03:00:00+00,,5.700000,4.200000,3,4,6.200000,9.300000,2.400000,5.900000,4.100000,3,7.700000,4.100000,4.600000,1711
2019/03/13 04:00:00+00,,7.900000,6.700000,3.700000,2.500000,4.900000,6.600000,1,5.300000,4.500000,3.800000,7.400000,6.300000,4.200000,1712
2019/03/13 05:00:00+00,,7,5,5.500000,2.300000,7.400000,5.800000,3.200000,4.500000,4,5.200000,5.400000,5.600000,4.700000,1713
2019/03/13 06:00:00+00,,7.300000,3.200000,3.300000,7.200000,,7.600000,4.100000,5.900000,5.200000,5.100000,9.300000,6.100000,3.200000,1714
2019/03/13 07:00:00+00,,6.500000,5.400000,4.400000,6.400000,5.100000,9.600000,2.700000,5.300000,6,5.200000,12.500000,7.900000,4.900000,1715
2019/03/13 08:00:00+00,,9.900000,3.400000,5.300000,3.800000,4.800000,8.800000,0.800000,3.900000,7,6,7.600000,6.700000,9.100000,1716
2019/03/13 09:00:00+00,,11.700000,5.800000,4.500000,6.800000,8.300000,6.700000,1.100000,6.700000,6.100000,6.900000,9.400000,7.500000,8.200000,1717
2019/03/13 10:00:00+00,,10.500000,7.500000,7.600000,11.600000,7.500000,9.900000,6.600000,7.300000,10.200000,7,10.500000,7.400000,5.900000,1718
2019/03/13 11:00:00+00,,12.700000,7.800000,6,9.200000,5.200000,12.800000,5.500000,6.400000,9.600000,7.900000,15.200000,9.500000,,1719
2019/03/13 12:00:00+00,,8.500000,12.700000,6.800000,7.400000,4.900000,12.500000,6,4.600000,12.500000,7.300000,7.100000,12.100000,,1720
2019/03/13 13:00:00+00,,6.600000,11.500000,8.300000,7.800000,8.900000,9.800000,8.200000,4.700000,11.500000,4.600000,12.400000,13.400000,,1721
2019/03/13 14:00:00+00,,7.800000,11.100000,6.900000,8.500000,6.900000,17.100000,8.500000,8.700000,11.100000,5.200000,16.600000,9.100000,,1722
2019/03/13 15:00:00+00,,4.200000,20.700000,3.100000,5.600000,4.900000,13.200000,7.200000,6.700000,12.400000,4.700000,10.500000,7.200000,,1723
2019/03/13 16:00:00+00,,3.400000,16.900000,2.100000,8.700000,4.400000,13.100000,15.700000,10.100000,21.300000,5,14.200000,9.400000,,1724
2019/03/13 17:00:00+00,,5.500000,10.500000,5.300000,11.300000,7.300000,12.200000,7,8.100000,17.500000,6.400000,13.200000,8,,1725
2019/03/13 18:00:00+00,,6.600000,8.600000,5.500000,7.800000,7.300000,13.800000,5.800000,8.800000,9.600000,6.900000,13.400000,8.800000,,1726
2019/03/13 19:00:00+00,,5.800000,7.200000,7.600000,7.200000,3.900000,14.300000,4.200000,6.500000,8.200000,5.400000,16.400000,9.100000,,1727
2019/03/13 20:00:00+00,,11.800000,8,5.900000,10.400000,5.700000,15.700000,7.300000,4.700000,8.100000,11.400000,11.400000,10.600000,,1728
2019/03/13 21:00:00+00,,12,10.200000,7.800000,12.700000,9.100000,15.900000,8.700000,7.800000,8.600000,8.700000,12.800000,11.700000,,1729
2019/03/13 22:00:00+00,,8.200000,7.600000,6.100000,10.200000,9.300000,8.900000,5.600000,8.400000,10.300000,7.900000,11.500000,11.900000,,1730
2019/03/13 23:00:00+00,,9.700000,7.100000,5.800000,9.900000,8.800000,9.300000,8,10,9,6.300000,10.100000,10.100000,,1731
2019/03/14 00:00:00+00,,8.500000,4.900000,6.500000,6.500000,7.700000,9.300000,7.600000,6.700000,9.100000,8.200000,12.100000,10,,1732
2019/03/14 01:00:00+00,,5.500000,4.500000,7.600000,5.400000,5.900000,8,5.300000,7.200000,8,8,6.700000,6.100000,,1733
2019/03/14 02:00:00+00,,5.800000,3.500000,5.500000,4.900000,5.600000,8.200000,2.800000,5.600000,6.900000,7,4.700000,5.400000,,1734
2019/03/14 03:00:00+00,,7,5.300000,5.200000,4.700000,8.100000,7.800000,5.300000,9.600000,7.200000,5.600000,6.300000,7.700000,,1735
2019/03/14 04:00:00+00,,5.400000,5,6.700000,8.900000,6.600000,9.900000,6.900000,6.500000,8.300000,8.900000,5.900000,9.700000,,1736
2019/03/14 05:00:00+00,,4.100000,4.200000,5,7.900000,5.300000,9.400000,5.100000,4.300000,8.100000,7.600000,9.300000,6.800000,,1737
2019/03/14 06:00:00+00,,6.300000,4.300000,5.800000,7.500000,3.700000,9.500000,4.800000,5.900000,7.100000,5.400000,11.200000,7.100000,,1738
2019/03/14 07:00:00+00,,6.400000,4.400000,4.400000,4.700000,2.900000,13.400000,5.600000,3.500000,4.300000,4,11,5.700000,,1739
2019/03/14 08:00:00+00,,8.600000,4.300000,3,1.800000,3.700000,9.100000,4.800000,3.800000,4.700000,6.100000,11.500000,7.500000,,1740
2019/03/14 09:00:00+00,,11,2.100000,6,1.200000,3.200000,6.300000,6.900000,4.300000,5.400000,5.400000,10.100000,6.200000,,1741
2019/03/14 10:00:00+00,,6.300000,4,5.900000,3.300000,4.100000,9.800000,5.400000,5.500000,3,3.300000,11.500000,1.900000,,1742
2019/03/14 11:00:00+00,,8.600000,,5.300000,3.100000,2.700000,10.400000,3.200000,3.900000,1.500000,3.500000,6.800000,4.300000,,1743
2019/03/14 12:00:00+00,,5.500000,,3.500000,2.300000,2.600000,8,1.300000,0.700000,,3.100000,8.100000,4.800000,,1744
2019/03/14 13:00:00+00,,4.400000,7.500000,2.300000,3.900000,,6.100000,3.300000,2.900000,,1.300000,8.600000,,,1745
2019/03/14 14:00:00+00,,3.100000,4.600000,0.700000,5.100000,,7,7.100000,2.800000,,,7.800000,,,1746
2019/03/14 15:00:00+00,,4.100000,4,0,4.400000,,5.200000,4.400000,0.900000,,3.900000,6.100000,,,1747
2019/03/14 16:00:00+00,,5.300000,4.900000,0,2,,9,1,,,2.600000,7.400000,,,1748
2019/03/14 17:00:00+00,,7,3.600000,1.900000,0.700000,,9.700000,2.300000,2,,1.700000,9.600000,,,1749
2019/03/14 18:00:00+00,,7.300000,2.400000,2.300000,0.300000,,7.600000,2.600000,1,,3.700000,10.400000,,,1750
2019/03/14 19:00:00+00,,5,0.900000,4.600000,4.300000,,9.400000,0.900000,,,4.900000,7.800000,3.400000,,1751
2019/03/14 20:00:00+00,,8.400000,0.400000,3.400000,9.200000,4.300000,10.300000,,5,,2.900000,6.900000,7.300000,,1752
2019/03/14 21:00:00+00,,6.900000,6.300000,0,7.100000,2.800000,9.900000,,4.500000,4.200000,0.600000,11.200000,9,,1753
2019/03/14 22:00:00+00,,5.500000,8.900000,0,5,,9,,4.600000,4.300000,2,9.200000,8.100000,,1754
2019/03/14 23:00:00+00,,4.800000,6.400000,2.400000,6.400000,,6.400000,,4.100000,4.200000,2.700000,6.100000,8.500000,,1755
2019/03/15 00:00:00+00,,4.200000,4.100000,1.800000,3.900000,,7.100000,,3.800000,4.100000,1.500000,5.300000,,,1756
2019/03/15 01:00:00+00,,,4.400000,1,5.700000,3.300000,4.600000,,,,1.200000,3.800000,,,1757
2019/03/15 02:00:00+00,,,1.300000,0,3.900000,1.300000,2.400000,,,,1.200000,1.800000,,,1758
2019/03/15 03:00:00+00,,,0,0,4.200000,,4,,,,0.700000,4.500000,,,1759
2019/03/15 04:00:00+00,,,1.100000,0,3.600000,,4.600000,0.900000,,1.800000,0.700000,4.300000,,,1760
2019/03/15 05:00:00+00,,1.800000,1.900000,0,2.600000,,5.600000,0.800000,,1.800000,2.600000,6.800000,,,1761
2019/03/15 06:00:00+00,,6,3.500000,1.300000,6.100000,6.800000,8.800000,0.200000,,2.200000,2.900000,11.300000,,,1762
2019/03/15 07:00:00+00,,6.300000,4.400000,2.500000,5,6.400000,13.400000,,5.400000,3.300000,1.900000,11,4,,1763
2019/03/15 08:00:00+00,,8.100000,6,5,2.800000,,13.200000,,6.300000,3.600000,3.400000,10.600000,3.100000,,1764
2019/03/15 09:00:00+00,,7,6.900000,4.200000,1.400000,,9.400000,,5.100000,,,8.400000,2.800000,,1765
2019/03/15 10:00:00+00,,7.600000,11,2.900000,2.400000,,8.400000,3.400000,4.300000,,3.600000,7.200000,3,,1766
2019/03/15 11:00:00+00,,8.200000,7.800000,3.600000,3.200000,,7.700000,3.100000,3.400000,2.700000,1.300000,10.700000,5.300000,2.500000,1767
2019/03/15 12:00:00+00,,5.500000,6.100000,3.400000,2.300000,3.600000,13.600000,3.300000,4.200000,4.200000,4.600000,8.500000,5.200000,2.800000,1768
2019/03/15 13:00:00+00,,9.600000,,0.600000,4.100000,4.500000,9.600000,2,3,5.300000,5,10.500000,5.500000,4.500000,1769
2019/03/15 14:00:00+00,,6.900000,11.800000,0,3.600000,5.900000,13.900000,4.100000,2.900000,6.100000,5.400000,16.700000,7.500000,4.100000,1770
2019/03/15 15:00:00+00,,4.400000,11.100000,3.400000,3.600000,8.600000,11.400000,3.100000,3,5.100000,3.400000,11.100000,6.600000,5.200000,1771
2019/03/15 16:00:00+00,,5.600000,9.400000,4.300000,3.500000,7.800000,12,2.500000,0.700000,,4.400000,11,6.400000,3.700000,1772
2019/03/15 17:00:00+00,,8,9,3.700000,3.700000,4.600000,8.700000,2.500000,3.200000,5.200000,4.500000,12.500000,6.200000,3.100000,1773
2019/03/15 18:00:00+00,,10.700000,7.900000,5.200000,3.300000,4.500000,11,0.600000,4.800000,3.100000,3,10.100000,5.300000,5.100000,1774
2019/03/15 19:00:00+00,,9.500000,6.800000,3.700000,4.200000,5.300000,13.600000,1.700000,2.800000,6,4.600000,18.500000,7.600000,4.800000,1775
2019/03/15 20:00:00+00,,12.100000,5.700000,3.600000,8.200000,11.100000,13,3.800000,7.200000,6.800000,7.100000,14.200000,10,11.300000,1776
2019/03/15 21:00:00+00,,7.600000,5.800000,4.400000,8.300000,13.300000,14.500000,4.700000,7.500000,8.100000,5.800000,22.800000,12.200000,7.800000,1777
2019/03/15 22:00:00+00,,13,7.400000,4.600000,6.300000,9.300000,15.400000,4.500000,6.800000,8.400000,5.300000,17.100000,10.700000,8.900000,1778
2019/03/15 23:00:00+00,,9,6.300000,5.600000,9.700000,7.500000,13.500000,7.400000,5.900000,8.500000,6.100000,12.200000,10.200000,6.400000,1779
2019/03/16 00:00:00+00,,8.900000,5,4.100000,7.800000,6.600000,14.900000,5.500000,6,9.500000,4.400000,14.400000,10.400000,6.600000,1780
2019/03/16 01:00:00+00,,5.300000,6.500000,4.100000,7.200000,4.800000,6.200000,0.700000,5.500000,9.800000,4.600000,8,9.200000,6.400000,1781
2019/03/16 02:00:00+00,,1.400000,6,4,5.900000,3.100000,4.900000,0,10.200000,6.800000,3.900000,4.500000,7.400000,7.100000,1782
2019/03/16 03:00:00+00,,1.300000,5.600000,3.300000,5,1.300000,9.300000,0,6.500000,6.100000,3.100000,4.800000,5.400000,7.600000,1783
2019/03/16 04:00:00+00,,1.500000,4.800000,2.700000,3.100000,3.100000,7.600000,0.200000,4.200000,5.100000,5.900000,5.700000,3.100000,6.100000,1784
2019/03/16 05:00:00+00,,2.400000,2,3.300000,2.500000,,4.800000,2.200000,3.900000,,4.500000,6.600000,2.100000,4.900000,1785
2019/03/16 06:00:00+00,,5,1.800000,3.100000,3,2.400000,5.800000,2.200000,4.100000,1.800000,3.300000,11.500000,,6.100000,1786
2019/03/16 07:00:00+00,,3.900000,2.200000,0.900000,3.600000,0.200000,12.600000,1.300000,5.100000,1.600000,,9.200000,2.600000,4.400000,1787
2019/03/16 08:00:00+00,,4.900000,4.400000,4.500000,4.300000,,11.300000,3.100000,3.100000,2.800000,4.400000,11.500000,4.400000,5.900000,1788
2019/03/16 09:00:00+00,,6.200000,5.200000,3.700000,6.500000,,12.600000,2.700000,3.500000,3.700000,1.500000,16.100000,5.400000,5.300000,1789
2019/03/16 10:00:00+00,,4.600000,3.100000,2.700000,2.800000,,9.900000,2,3.800000,4,2.900000,10.300000,5.800000,8.300000,1790
2019/03/16 11:00:00+00,,7.400000,1.200000,5.600000,0,4.300000,7.900000,1.300000,3.900000,2.600000,3.100000,11.700000,2.300000,7.200000,1791
2019/03/16 12:00:00+00,,8.400000,,5.800000,0,6.100000,8.300000,3.400000,4.300000,2.600000,5.200000,14.400000,5,8.700000,1792
2019/03/16 13:00:00+00,,10.100000,,6.400000,2.100000,8.300000,7.300000,5.900000,2.700000,5.900000,4.700000,13.300000,7.500000,7.500000,1793
2019/03/16 14:00:00+00,,10.200000,,3.400000,3.500000,7.500000,8.400000,5.600000,3.200000,,3.600000,14.500000,7,6.600000,1794
2019/03/16 15:00:00+00,,8.600000,,1.900000,16.800000,4.700000,10.700000,3.800000,6.700000,,3.900000,8.800000,6.700000,4.600000,1795
2019/03/16 16:00:00+00,,5.300000,5.400000,2.500000,2.500000,3.800000,9.900000,,3.900000,6.500000,4.200000,9.500000,7.900000,3.600000,1796
2019/03/16 17:00:00+00,,6.200000,7.700000,0,3.800000,3.200000,11.800000,,2.800000,5.600000,,6.500000,8.900000,4.500000,1797
2019/03/16 18:00:00+00,,6.400000,9.300000,0.500000,5.200000,5.800000,11,,5.500000,6.600000,6.800000,14.100000,7.600000,8.200000,1798
2019/03/16 19:00:00+00,,7.500000,7.400000,0.400000,6.200000,7.400000,12.600000,4.700000,5.100000,7.900000,5,9.800000,11.100000,13,1799
2019/03/16 20:00:00+00,,7.800000,5.200000,0.400000,6.500000,6.600000,11,2.100000,5.400000,6.900000,7,7.800000,8.200000,11.100000,1800
2019/03/16 21:00:00+00,,6.700000,4.800000,3.300000,5.300000,5.100000,9.600000,5,5.300000,5.200000,7,5.800000,10.100000,6.700000,1801
2019/03/16 22:00:00+00,,6.800000,9.600000,6.500000,5.500000,5.400000,9.300000,4,8,4.200000,4.900000,8.200000,10,8.600000,1802
2019/03/16 23:00:00+00,,7.200000,,5.700000,6.200000,,8.900000,3.700000,5.700000,5.500000,,18.100000,12.300000,5.700000,1803
2019/03/17 00:00:00+00,,6.500000,11.100000,4.600000,5.800000,,11.800000,3.200000,3.100000,6.700000,5.100000,10.100000,12.400000,4.800000,1804
2019/03/17 01:00:00+00,,7.500000,10.100000,4.900000,7.900000,11.900000,8.700000,8.800000,3.900000,8.100000,3.300000,8.200000,6.700000,10.100000,1805
2019/03/17 02:00:00+00,,4.800000,11.500000,4.100000,6.600000,10,5.800000,7.300000,7.100000,6.500000,6.400000,7.900000,6.300000,7.200000,1806
2019/03/17 03:00:00+00,,5.300000,9.300000,3.900000,10.400000,7.900000,8.400000,5.600000,6.500000,5.100000,5,6.300000,6.200000,4.900000,1807
2019/03/17 04:00:00+00,,9.600000,9.200000,4.900000,9.700000,5.100000,7.500000,9.900000,6.400000,4.800000,3.600000,9.800000,6.800000,11.500000,1808
2019/03/17 05:00:00+00,,8.900000,4.800000,4.200000,5.300000,,6.300000,8.100000,4.400000,3.300000,3.600000,8.500000,7.700000,12.900000,1809
2019/03/17 06:00:00+00,,7.300000,3.400000,4.500000,1.100000,4.900000,4.900000,5.900000,2.800000,1.400000,2,5.900000,,5.700000,1810
2019/03/17 07:00:00+00,,3.800000,2.300000,4,0,5.200000,9.500000,4,4.300000,,,5.400000,,4.300000,1811
2019/03/17 08:00:00+00,,2.500000,2.400000,0.200000,0,3.700000,11.100000,4.500000,4.400000,3.200000,6.100000,6.700000,2.800000,5.400000,1812
2019/03/17 09:00:00+00,,4.700000,3.100000,0,4.700000,0.400000,10.300000,1.300000,4.500000,4.500000,5.900000,8.800000,3,5.800000,1813
2019/03/17 10:00:00+00,,3.400000,3.100000,2.100000,6.300000,3,9,0.500000,7.600000,4.800000,4.700000,8.400000,5.200000,5.500000,1814
2019/03/17 11:00:00+00,,6.900000,4,4.200000,7.400000,3.300000,7.900000,9.800000,6.300000,5.600000,5.300000,11.600000,6.600000,5.300000,1815
2019/03/17 12:00:00+00,,6.700000,2.900000,3.800000,5.500000,4.500000,7.700000,,3.800000,2.300000,4.700000,10,4.600000,3.100000,1816
2019/03/17 13:00:00+00,,4.800000,5.600000,2,4.700000,3.800000,10.900000,2.900000,,0.200000,3,10.400000,6,1.100000,1817
2019/03/17 14:00:00+00,,6.900000,3.700000,0.800000,3.900000,2.200000,8.100000,4.600000,,1,1.400000,11.400000,6.100000,2.900000,1818
2019/03/17 15:00:00+00,,5,2.500000,1,2.200000,1.900000,8.900000,3.700000,2.100000,,3,10.100000,5.200000,4,1819
2019/03/17 16:00:00+00,,5.300000,3.100000,5,2.300000,1.300000,7.900000,0,4.500000,,1.900000,10.300000,6.900000,3.400000,1820
2019/03/17 17:00:00+00,,8.200000,2.800000,4.100000,4.400000,1.700000,6.800000,0,4.400000,,0.600000,9.900000,4,3.700000,1821
2019/03/17 18:00:00+00,,5.900000,3.600000,2,4.600000,2.200000,11.200000,0,3.700000,5.300000,6,8,3.600000,4.300000,1822
2019/03/17 19:00:00+00,,7.400000,1.300000,2.300000,3,,13.700000,0,,3.900000,5.500000,12.900000,3.600000,6.600000,1823
2019/03/17 20:00:00+00,,6.400000,1.700000,1.700000,6.300000,,11.700000,0.800000,3.600000,4.900000,5.100000,17.100000,6.600000,,1824
2019/03/17 21:00:00+00,,10.500000,6.300000,4,8.400000,,9.700000,2,4.600000,5.800000,,15.900000,7.100000,,1825
2019/03/17 22:00:00+00,,5.900000,5.400000,3.600000,6,,11.600000,3.800000,3.200000,4.900000,5.100000,12.600000,8.700000,5.900000,1826
2019/03/17 23:00:00+00,,2.200000,5.100000,1,4.600000,,12.700000,4,5.200000,,6.200000,10.800000,6.400000,8.700000,1827
2019/03/18 00:00:00+00,,6.300000,3.400000,2.200000,4.500000,4.500000,8.500000,3.800000,5.300000,5.300000,5.700000,12.600000,5.800000,6.700000,1828
2019/03/18 01:00:00+00,,8.800000,5.400000,4.600000,6.600000,3.900000,8.200000,3.700000,,4.400000,3.400000,8,3.900000,4,1829
2019/03/18 02:00:00+00,,5.200000,5.400000,4.100000,6.200000,2.800000,5.400000,3.400000,,4.300000,2.600000,4.400000,2.300000,2.500000,1830
2019/03/18 03:00:00+00,,5.700000,3.100000,3.200000,3,1.500000,3.400000,2.900000,2.800000,4.100000,3.300000,5.500000,2.900000,2.800000,1831
2019/03/18 04:00:00+00,,4.400000,0.300000,3.300000,3.300000,4.200000,5.700000,3,,3.400000,,7.200000,2.600000,3.500000,1832
2019/03/18 05:00:00+00,,3.900000,2.400000,2.900000,4.300000,5.100000,7.800000,1.800000,5.400000,3.700000,4.400000,6.900000,,3.800000,1833
2019/03/18 06:00:00+00,,8.300000,4.300000,1.200000,6.200000,4.500000,13.700000,0.500000,4.900000,4.600000,5.800000,23.800000,4.200000,6.100000,1834
2019/03/18 07:00:00+00,,14.300000,3.600000,2.600000,4.500000,4.100000,20.200000,3,3.500000,4.300000,6.200000,21.900000,5,6.100000,1835
2019/03/18 08:00:00+00,,17.800000,3.500000,4.700000,6.100000,4.600000,14.400000,5.400000,3.400000,6.400000,8.600000,16.800000,6.200000,5,1836
2019/03/18 09:00:00+00,,12.400000,3.100000,4.400000,8.300000,4.900000,10.700000,3.900000,5.500000,7.500000,8.400000,17.900000,5.900000,4.800000,1837
2019/03/18 10:00:00+00,,12.800000,5.900000,4.200000,7.400000,5.200000,12.900000,3.700000,5.400000,4.800000,6.200000,15.400000,6.400000,4.300000,1838
2019/03/18 11:00:00+00,,14.500000,5,2.300000,7.100000,5.700000,14.500000,6,5,7.600000,6.800000,10.500000,7.200000,3.800000,1839
2019/03/18 12:00:00+00,,7.700000,3.500000,5.400000,9,6,14.200000,9,2.900000,7.700000,6.600000,9,8.900000,7.300000,1840
2019/03/18 13:00:00+00,,4.300000,4.400000,7.200000,5.600000,6.600000,13.900000,5.600000,2.700000,8,5.700000,7.400000,10.700000,8,1841
2019/03/18 14:00:00+00,,3.700000,3.600000,5.100000,7.100000,4.800000,11.700000,5.300000,3.400000,8.200000,5.900000,8.900000,9.900000,6.300000,1842
2019/03/18 15:00:00+00,,6.800000,3,2.700000,10.600000,3.800000,17.500000,5.500000,3.900000,8.600000,7.800000,8.500000,9.300000,5.700000,1843
2019/03/18 16:00:00+00,,6.800000,6.300000,1.600000,8.100000,7.400000,15.500000,5.600000,3.200000,8.300000,8.300000,15.400000,8.800000,4.400000,1844
2019/03/18 17:00:00+00,,7.600000,8.300000,4.400000,6.200000,8.300000,17.100000,3.900000,4.400000,6.500000,5.600000,16.100000,7.300000,6,1845
2019/03/18 18:00:00+00,,9.500000,7.600000,5,12.700000,5.600000,13.200000,4.800000,5.200000,7,9.600000,9,8.900000,5.700000,1846
2019/03/18 19:00:00+00,,13,5.300000,8.600000,7.400000,6.300000,15.200000,4.300000,2.500000,6.800000,9.400000,8.200000,7.800000,10.300000,1847
2019/03/18 20:00:00+00,,14,6.300000,7.700000,2.400000,12,16.900000,5.200000,2.200000,9.800000,6.400000,15,9.300000,7.500000,1848
2019/03/18 21:00:00+00,,15.900000,5.400000,3.900000,2.900000,10.400000,18.600000,6.800000,9.600000,11.100000,10.500000,21.900000,9.900000,7.800000,1849
2019/03/18 22:00:00+00,,19.400000,10.100000,2.500000,11.100000,15.500000,17.300000,5.900000,9.500000,12.700000,13.800000,16.500000,10.200000,9.900000,1850
2019/03/18 23:00:00+00,,14.500000,8.700000,1,12.200000,13.400000,20,2.500000,12.500000,13.600000,11.200000,20.100000,11.400000,11.500000,1851
2019/03/19 00:00:00+00,,16.200000,12.900000,3.600000,9.700000,8.600000,15.100000,4.100000,16.800000,15,9.800000,17.500000,12.900000,11.400000,1852
2019/03/19 01:00:00+00,,13.300000,10.200000,3.500000,10.700000,11.200000,13.500000,10.600000,14.800000,20.800000,12.200000,17.100000,12.500000,16.200000,1853
2019/03/19 02:00:00+00,,13,10.100000,5.800000,14.100000,11.800000,16.600000,9.700000,14.400000,21,12,20.800000,10.400000,10.300000,1854
2019/03/19 03:00:00+00,,16.100000,7.100000,11.100000,14.700000,7.300000,17.500000,7.500000,8.300000,22.300000,12.300000,24.900000,11.600000,12.600000,1855
